Country,GTI
Iraq,10
Afghanistan,9.39
Pakistan,9.37
Nigeria,8.58
Syria,8.12
India,7.86
Somalia,7.41
Yemen,7.31
Philippines,7.29
Thailand,7.19
Russia,6.76
Kenya,6.58
Egypt,6.5
Lebanon,6.4
Libya,6.25
Colombia,6.24
Turkey,5.98
DemocraticRepublicoftheCongo,5.9
Sudan,5.77
SouthSudan,5.6
Algeria,5.52
Mali,5.29
Bangladesh,5.25
Nepal,5.23
China,5.21
CentralAfrican,5.19
UnitedKingdom,5.17
Iran,4.9
Greece,4.73
UnitedStates,4.71
Indonesia,4.67
Israel,4.66
Mexico,4.66
Bahrain,4.41
Myanmar,4.24
Mozambique,4.01
SriLanka,4.01
Rwanda,4
Burundi,3.97
Cotedâ€™Ivoire,3.76
Tanzania,3.71
Ethiopia,3.7
Paraguay,3.63
Norway,3.57
Senegal,3.55
Tunisia,3.29
Ireland,3.09
Malaysia,3.04
SouthAfrica,3.04
Peru,2.96
Ukraine,2.95
Uganda,2.93
Belarus,2.85
Kosovo,2.73
SaudiArabia,2.71
France,2.67
Guatemala,2.61
Chile,2.59
Niger,2.59
Bulgaria,2.58
Georgia,2.58
Italy,2.55
Eritrea,2.45
Honduras,2.38
Kazakhstan,2.37
Cyprus,2.3
Morocco,2.11
Tajikistan,1.99
Spain,1.84
Jordan,1.76
Argentina,1.73
Brazil,1.72
RepublicoftheCongo,1.59
TrinidadandTobago,1.54
Cameroon,1.45
Macedonia(FYR) ,1.45
Switzerland,1.34
Madagascar,1.26
Ecuador,1.18
Zimbabwe,1.16
Guinea,1.12
Sweden,1.07
Germany,1.02
Canada,0.95
CzechRepublic,0.81
BosniaandHerzegovina,0.76
BurkinaFaso,0.7
Montenegro,0.7
Netherlands,0.58
Serbia,0.58
Mauritania,0.56
Venezuela,0.54
Belgium,0.53
DominicanRepublic,0.47
Angola,0.41
Australia,0.41
Guinea-Bissau,0.35
Cambodia,0.31
Taiwan,0.31
UnitedArabEmirates,0.29
Moldova,0.28
Armenia,0.27
Austria,0.24
Bolivia,0.24
Croatia,0.23
Portugal,0.23
Albania,0.19
Denmark,0.19
Bhutan,0.16
Estonia,0.16
Uzbekistan,0.14
Kyrgyzstan,0.1
Iceland,0.08
Laos,0.08
Liberia,0.08
Hungary,0.07
Azerbaijan,0.06
Chad,0.05
Kuwait,0.04
Panama,0.04
EquatorialGuinea,0.01
Japan,0.01
Lesotho,0.01
Benin,0
Botswana,0
CostaRica,0
Cuba,0
Djibouti,0
ElSalvador,0
Finland,0
Gabon,0
Gambia,0
Ghana,0
Guyana,0
Haiti,0
Jamaica,0
Latvia,0
Lithuania,0
Malawi,0
Mauritius,0
Mongolia,0
Namibia ,0
NewZealand,0
Nicaragua,0
NorthKorea,0
Oman,0
PapuaNewGuinea,0
Poland,0
Qatar,0
Romania,0
SierraLeone,0
Singapore,0
Slovakia,0
Slovenia,0
SouthKorea,0
Swaziland,0
Timor-Leste,0
Togo,0
Turkmenistan,0
Uruguay,0
Vietnam,0
Zambia,0
